month,symbol,signal,vol,carry,rank,weight
2023-10,ZC,0.08555041,0.20958169,-0.11772543,14.0,0.0859375
2023-11,ZC,0.07036672,0.20834465,-0.17851213,14.0,0.0859375
2023-12,ZC,0.0709721,0.20828446,-0.15984878,14.0,0.0859375
2024-01,ZC,0.07248075,0.19360926,-0.13537709,14.0,0.0859375
2024-02,ZC,0.06705855,0.12231049,-0.19482569,14.0,0.0859375
2024-03,ZC,0.04629475,0.10791038,-0.17264582,11.0,0.0390625
2024-04,ZC,0.01203319,0.12979124,-0.10128839,8.0,-0.0078125
2024-05,ZC,0.00268535,0.12467087,-0.09982262,6.0,-0.0390625
2024-06,ZC,0.00798893,0.12858879,-0.14769508,6.0,-0.0390625
2024-07,ZC,-0.01617717,0.18484561,-0.17442621,5.0,-0.0546875
2024-08,ZC,-0.01275109,0.18401167,-0.23708029,4.0,-0.0703125
2024-09,ZC,0.00533267,0.17038433,-0.15296689,5.0,-0.0546875
2024-10,ZC,0.00534135,0.19254739,-0.14631911,4.0,-0.0703125
2024-11,ZC,0.03357506,0.1922568,-0.09378315,8.0,-0.0078125
2024-12,ZC,0.03523798,0.20539754,-0.09393941,9.0,0.0078125
2025-01,ZC,0.02427465,0.13587624,-0.13511292,8.0,-0.0078125
2025-02,ZC,0.02209513,0.12963047,-0.20761187,8.0,-0.0078125
2025-03,ZC,0.03145396,0.17259281,-0.07805918,8.0,-0.0078125
2025-04,ZC,0.01546151,0.16010439,-0.10479942,7.0,-0.0234375
2025-05,ZC,0.01890069,0.14713427,0.29135713,7.0,-0.0234375
2025-06,ZC,0.00641468,0.18736776,0.16508243,6.0,-0.0390625
2025-07,ZC,-0.02251349,0.17318229,-0.19631592,3.0,-0.0859375
2025-08,ZC,-0.01239033,0.12459135,-0.21833829,3.0,-0.0859375
2025-09,ZC,-0.02169435,0.12999856,-0.15630683,2.0,-0.1015625
2025-10,ZC,-0.01296469,0.12824058,-0.11462047,3.0,-0.0859375
2025-11,ZC,-0.02523692,0.14342311,-0.11134203,1.0,-0.1171875
2025-12,ZC,-0.01835919,0.11763818,-0.1060896,1.0,-0.1171875
2026-01,ZC,-0.01083603,0.08802699,-0.10227911,2.0,-0.1015625
2026-02,ZC,-0.00334542,0.07919694,-0.12948058,2.0,-0.1015625
2026-03,ZC,-0.02518078,0.08498471,-0.1357961,1.0,-0.1171875
2026-04,ZC,-0.01932449,0.08331521,-0.12747059,3.0,-0.0859375
2026-05,ZC,-0.03272939,0.07181328,-0.1175001,3.0,-0.0859375
2026-06,ZC,-0.00168529,0.10774296,-0.05681663,5.0,-0.0546875
2026-07,ZC,-0.00677018,0.15385791,-0.20633306,4.0,-0.0703125
2011-05,ZL,0.02508815,0.22299169,-0.06014938,10.0,0.03571429
2011-06,ZL,0.02525946,0.22692372,-0.04112227,12.0,0.07142857
2011-07,ZL,0.0240545,0.15873475,-0.02979324,13.0,0.08928571
2011-08,ZL,0.02596917,0.15982299,-0.02907712,13.0,0.08928571
2011-09,ZL,0.02336734,0.16129364,-0.0310864,12.0,0.07142857
2011-10,ZL,0.02290279,0.23810958,-0.06170579,12.0,0.07142857
2011-11,ZL,0.02312582,0.24383862,-0.05670254,12.0,0.07142857
2011-12,ZL,0.02588562,0.23792233,-0.03781359,12.0,0.07142857
2012-01,ZL,0.02202572,0.26825136,-0.05156795,11.0,0.05357143
2012-02,ZL,0.02485182,0.26556613,-0.04191852,10.0,0.03571429
2012-03,ZL,0.01629349,0.27961882,-0.04512949,7.0,-0.01785714
2012-04,ZL,0.01415293,0.1420355,-0.04328019,7.0,-0.01785714
2012-05,ZL,0.01140183,0.14614531,-0.05092472,8.0,0.0
2012-06,ZL,0.01091101,0.20673057,-0.03928362,7.0,-0.01785714
2012-07,ZL,0.00794546,0.20067935,-0.05145588,4.0,-0.07142857
2012-08,ZL,0.00710417,0.20319694,-0.05306928,4.0,-0.07142857
2012-09,ZL,0.00607465,0.2130766,-0.05308807,3.0,-0.08928571
2012-10,ZL,0.00573292,0.22587423,-0.08659162,3.0,-0.08928571
2012-11,ZL,0.00601469,0.2293347,-0.07842984,4.0,-0.07142857
2012-12,ZL,0.0014802,0.18058352,-0.06763098,3.0,-0.08928571
2013-01,ZL,0.0060017,0.15410531,-0.0473874,3.0,-0.08928571
2013-02,ZL,0.00617806,0.18266111,-0.03668199,4.0,-0.07142857
2013-03,ZL,0.00720911,0.16177086,-0.02957925,5.0,-0.05357143
2013-04,ZL,0.00985316,0.16100506,-0.01133017,8.0,0.0
2013-05,ZL,-0.00307378,0.15777469,0.0,3.0,-0.08928571
2013-06,ZL,-0.00128922,0.1578877,0.03104012,3.0,-0.08928571
2013-07,ZL,-0.01049143,0.16186955,-0.05195598,3.0,-0.08928571
2013-08,ZL,-0.00646058,0.12826969,-0.02145643,4.0,-0.07142857
2013-09,ZL,-0.00752047,0.13294414,-0.04012281,5.0,-0.05357143
2013-10,ZL,-0.00624835,0.13003385,-0.08255144,5.0,-0.05357143
2013-11,ZL,-0.00565808,0.13785988,-0.06790736,4.0,-0.07142857
2013-12,ZL,7.667e-05,0.13644896,-0.04923978,5.0,-0.05357143
2014-01,ZL,-0.00461598,0.13570996,-0.04595588,4.0,-0.07142857
2014-02,ZL,-0.00521068,0.10770796,-0.03881133,4.0,-0.07142857
2014-03,ZL,-0.00657107,0.19902155,-0.03102828,2.0,-0.10714286
2014-04,ZL,-0.00981376,0.18216424,-0.0327938,2.0,-0.10714286
2014-05,ZL,-0.00027443,0.19026602,-0.0336156,2.0,-0.10714286
2014-06,ZL,-0.0027965,0.22268946,-0.0302886,3.0,-0.08928571
2014-07,ZL,0.00724432,0.21706607,-0.01742747,7.0,-0.01785714
2014-08,ZL,0.00920675,0.23683223,0.01069233,5.0,-0.05357143
2014-09,ZL,0.01045822,0.19294363,-0.01915434,5.0,-0.05357143
2014-10,ZL,0.00913256,0.18635034,-0.06975102,5.0,-0.05357143
2014-11,ZL,0.01073907,0.23071207,-0.03776954,5.0,-0.0546875
2014-12,ZL,0.01002226,0.22971447,-0.03339769,6.0,-0.0390625
2015-01,ZL,0.00433666,0.21941555,-0.04694152,5.0,-0.0546875
2015-02,ZL,0.00654888,0.21910308,-0.02687972,6.0,-0.0390625
2015-03,ZL,0.006729,0.25890505,-0.045146,5.0,-0.0546875
2015-04,ZL,0.01013045,0.26510353,-0.02654465,4.0,-0.0703125
2015-05,ZL,0.00842169,0.23806525,-0.00706794,4.0,-0.0703125
2015-06,ZL,0.00606102,0.23233489,-0.03155494,5.0,-0.0546875
2015-07,ZL,0.0044346,0.22901438,-0.04706634,4.0,-0.0703125
2015-08,ZL,-0.00192417,0.24321477,-0.04787316,2.0,-0.1015625
2015-09,ZL,-0.002343,0.21738995,-0.05279421,3.0,-0.0859375
2015-10,ZL,0.0027829,0.20626028,-0.13294649,4.0,-0.0703125
2015-11,ZL,0.00024048,0.21289749,-0.12885715,3.0,-0.0859375
2015-12,ZL,0.00192149,0.19724006,-0.03972282,3.0,-0.0859375
2016-01,ZL,0.0086914,0.21695663,-0.04125802,5.0,-0.0546875
2016-02,ZL,0.00458499,0.16890805,-0.04552533,5.0,-0.0546875
2016-03,ZL,0.00684097,0.10590039,-0.03775278,8.0,-0.0078125
2016-04,ZL,0.00226635,0.13772907,-0.04640114,4.0,-0.0703125
2016-05,ZL,0.00630955,0.17303064,-0.04740844,4.0,-0.0703125
2016-06,ZL,0.00738324,0.19775661,-0.06006128,6.0,-0.0390625
2016-07,ZL,0.02790736,0.18821912,-0.04730777,13.0,0.0703125
2016-08,ZL,0.02864193,0.19140122,-0.04864767,14.0,0.0859375
2016-09,ZL,0.03066206,0.21072058,-0.03591915,11.0,0.0390625
2016-10,ZL,0.02637775,0.13343696,-0.07592145,12.0,0.0546875
2016-11,ZL,0.02684499,0.1287852,-0.06600721,11.0,0.0390625
